
2023/06/10 (09:30:36) | DEBUG: Loading theme file: /usr/local/share/btop/themes/HotPurpleTrafficLight.theme
2023/06/10 (09:34:45) | DEBUG: Loading theme file: /usr/local/share/btop/themes/HotPurpleTrafficLight.theme
2023/06/10 (09:38:17) | DEBUG: Writing new config file
2023/06/10 (09:38:17) | INFO: Quitting! Runtime: 00:10:57

2023/06/11 (15:57:45) | ===> btop++ v.1.2.13
2023/06/11 (15:57:45) | INFO: Logger set to DEBUG
2023/06/11 (15:57:45) | DEBUG: Using locale en_US.utf8
2023/06/11 (15:57:45) | INFO: Running on /dev/pts/1
2023/06/11 (15:57:45) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.
2023/06/11 (15:57:47) | INFO: Quitting! Runtime: 00:00:02

2023/06/11 (15:57:50) | ===> btop++ v.1.2.13
2023/06/11 (15:57:50) | INFO: Logger set to DEBUG
2023/06/11 (15:57:50) | DEBUG: Using locale en_US.utf8
2023/06/11 (15:57:50) | INFO: Running on /dev/pts/1
2023/06/11 (15:57:50) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.
2023/06/11 (15:57:51) | INFO: Quitting! Runtime: 00:00:01

2023/06/11 (15:57:52) | ===> btop++ v.1.2.13
2023/06/11 (15:57:52) | INFO: Logger set to DEBUG
2023/06/11 (15:57:52) | DEBUG: Using locale en_US.utf8
2023/06/11 (15:57:52) | INFO: Running on /dev/pts/1
2023/06/11 (15:57:52) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.
2023/06/11 (15:58:00) | DEBUG: Writing new config file
2023/06/11 (15:58:00) | INFO: Quitting! Runtime: 00:00:08

2023/06/12 (00:54:07) | ===> btop++ v.1.2.13
2023/06/12 (00:54:07) | INFO: Logger set to DEBUG
2023/06/12 (00:54:07) | DEBUG: Using locale en_US.utf8
2023/06/12 (00:54:07) | INFO: Running on /dev/pts/3
2023/06/12 (00:54:07) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.
2023/06/12 (00:54:13) | INFO: Quitting! Runtime: 00:00:06

2023/06/12 (22:51:36) | ===> btop++ v.1.2.13
2023/06/12 (22:51:36) | INFO: Logger set to DEBUG
2023/06/12 (22:51:36) | DEBUG: Using locale en_US.utf8
2023/06/12 (22:51:36) | INFO: Running on /dev/pts/2
2023/06/12 (22:51:36) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.
2023/06/12 (22:51:42) | INFO: Quitting! Runtime: 00:00:06

2023/06/12 (22:56:27) | ===> btop++ v.1.2.13
